System call,Windows NT (SP6),Windows 2000 (SP2),Windows 2000 (SP4),Windows XP (SP0),Windows XP (SP1),Windows XP (SP2),Windows XP (SP3),Windows Server 2003 (SP0),Windows Server 2003 (SP1),Windows Server 2003 (SP2),Windows Server 2003 (R2),Windows Server 2003 (R2 SP2),Windows Vista (SP0),Windows Vista (SP1),Windows Vista (SP2),Windows Server 2008 (SP0),Windows Server 2008 (SP2),Windows 7 (SP0),Windows 7 (SP1),Windows 8 (8.0),Windows 8 (8.1),Windows 10 (1507),Windows 10 (1511),Windows 10 (1607),Windows 10 (1703),Windows 10 (1709),Windows 10 (1803),Windows 10 (1809),Windows 10 (1903),Windows 10 (1909),Windows 10 (2004),Windows 10 (20H2)
NtDCompositionReferenceSharedResourceOnDwmChannel,,,,,,,,,,,,,,,,,,,,,0x13db,0x141e,0x1421,0x1422,0x13f5,0x1410,0x1424,0x142d,0x1431,0x1431,0x102c,0x102c
NtDCompositionRegisterThumbnailVisual,,,,,,,,,,,,,,,,,,,,,0x13e1,0x1424,0x1426,0x1427,0x13fa,0x1415,0x1429,0x1432,0x1436,0x1436,0x102d,0x102d
NtDCompositionRegisterVirtualDesktopVisual,,,,,,,,,,,,,,,,,,,,,,0x1425,0x1427,0x1428,0x13fb,0x1416,0x142a,0x1433,0x1437,0x1437,0x1132,0x1132
NtDCompositionReleaseAllResources,,,,,,,,,,,,,,,,,,,,0x139d,0x13ba,0x13fe,0x1401,0x140f,0x13e2,0x13fd,0x1411,0x141a,0x141e,0x141e,0x102e,0x102e
NtDCompositionReleaseResource,,,,,,,,,,,,,,,,,,,,0x13a6,0x13c7,0x140b,0x140e,,,,,,,,,
NtDCompositionRemoveCrossDeviceVisualChild,,,,,,,,,,,,,,,,,,,,0x13a7,0x13c8,0x140c,0x140f,0x141d,0x13f0,0x140b,0x141f,0x1428,0x142c,0x142c,0x102f,0x102f
NtDCompositionRemoveVisualChild,,,,,,,,,,,,,,,,,,,,0x13a8,0x13c9,0x140d,0x1410,,,,,,,,,
NtDCompositionReplaceVisualChildren,,,,,,,,,,,,,,,,,,,,0x13ab,0x13cc,0x1410,0x1413,,,,,,,,,
NtDCompositionRetireFrame,,,,,,,,,,,,,,,,,,,,0x1392,0x13af,0x13f3,0x13f6,0x1405,0x13d8,0x13f3,0x1407,0x1410,0x1414,0x1414,0x1030,0x1030
NtDCompositionSetChannelCallbackId,,,,,,,,,,,,,,,,,,,,,,0x142b,0x142d,0x142b,0x13fe,0x1419,0x142d,,,,,
NtDCompositionSetChannelCommitCompletionEvent,,,,,,,,,,,,,,,,,,,,0x13a1,0x13be,0x1402,0x1405,0x1414,0x13e7,0x1402,0x1416,0x141f,0x1423,0x1423,0x1031,0x1031
NtDCompositionSetChannelConnectionId,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1436,0x143a,0x143a,0x1032,0x1032
NtDCompositionSetChildRootVisual,,,,,,,,,,,,,,,,,,,,,,,,,0x1400,0x141b,0x1430,0x1439,0x143d,0x143d,0x1133,0x1133
NtDCompositionSetDebugCounter,,,,,,,,,,,,,,,,,,,,,0x13de,0x1421,0x1423,0x1424,0x13f7,0x1412,0x1426,0x142f,0x1433,0x1433,0x1033,0x1033
NtDCompositionSetMaterialProperty,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x143c,0x1440,0x1440,0x1034,0x1034
NtDCompositionSetResourceAnimationProperty,,,,,,,,,,,,,,,,,,,,0x13ac,0x13cd,0x1411,0x1414,,,,,,,,,
NtDCompositionSetResourceBufferProperty,,,,,,,,,,,,,,,,,,,,0x13af,0x13d0,0x1414,0x1417,,,,,,,,,
NtDCompositionSetResourceCallbackId,,,,,,,,,,,,,,,,,,,,,,0x142c,0x142e,,,,,,,,,
NtDCompositionSetResourceDeletedNotificationTag,,,,,,,,,,,,,,,,,,,,0x139a,0x13b7,0x13fb,0x13fe,,,,,,,,,
NtDCompositionSetResourceFloatProperty,,,,,,,,,,,,,,,,,,,,0x13b1,0x13d2,0x1416,0x1419,,,,,,,,,
NtDCompositionSetResourceHandleProperty,,,,,,,,,,,,,,,,,,,,,0x13d3,0x1417,0x141a,,,,,,,,,
NtDCompositionSetResourceIntegerProperty,,,,,,,,,,,,,,,,,,,,0x13b0,0x13d1,0x1415,0x1418,,,,,,,,,
NtDCompositionSetResourceReferenceArrayProperty,,,,,,,,,,,,,,,,,,,,0x13ad,0x13ce,0x1412,0x1415,,,,,,,,,
NtDCompositionSetResourceReferenceProperty,,,,,,,,,,,,,,,,,,,,0x13ae,0x13cf,0x1413,0x1416,,,,,,,,,
NtDCompositionSetVisualInputSink,,,,,,,,,,,,,,,,,,,,,,0x1427,0x1429,,,,,,,,,
NtDCompositionSignalGpuFence,,,,,,,,,,,,,,,,,,,,0x13b8,0x13dc,0x141f,,,,,,,,,,
NtDCompositionSubmitDWMBatch,,,,,,,,,,,,,,,,,,,,0x139e,0x13bb,0x13ff,0x1402,0x1410,0x13e3,0x13fe,0x1412,0x141b,0x141f,0x141f,0x1035,0x1035
NtDCompositionSuspendAnimations,,,,,,,,,,,,,,,,,,,,,,,,,,,0x142e,0x1437,0x143b,0x143b,0x1036,0x1036
NtDCompositionSynchronize,,,,,,,,,,,,,,,,,,,,0x13b5,0x13d9,0x141d,0x1420,0x1421,0x13f4,0x140f,0x1423,0x142c,0x1430,0x1430,0x1037,0x1037
NtDCompositionTelemetryAnimationScenarioBegin,,,,,,,,,,,,,,,,,,,,,0x13c3,0x1407,0x140a,0x1419,0x13ec,0x1407,0x141b,0x1424,0x1428,0x1428,0x1038,0x1038
NtDCompositionTelemetryAnimationScenarioReference,,,,,,,,,,,,,,,,,,,,,0x13c4,0x1408,0x140b,0x141a,0x13ed,0x1408,0x141c,0x1425,0x1429,0x1429,0x1039,0x1039
NtDCompositionTelemetryAnimationScenarioUnreference,,,,,,,,,,,,,,,,,,,,,0x13c5,0x1409,0x140c,0x141b,0x13ee,0x1409,0x141d,0x1426,0x142a,0x142a,0x103a,0x103a
NtDCompositionTelemetrySetApplicationId,,,,,,,,,,,,,,,,,,,,,0x13c2,0x1406,0x1409,0x1418,0x13eb,0x1406,0x141a,0x1423,0x1427,0x1427,0x103b,0x103b
NtDCompositionTelemetryTouchInteractionBegin,,,,,,,,,,,,,,,,,,,,0x13a2,0x13bf,0x1403,0x1406,0x1415,0x13e8,0x1403,0x1417,0x1420,0x1424,0x1424,0x103c,0x103c
NtDCompositionTelemetryTouchInteractionEnd,,,,,,,,,,,,,,,,,,,,0x13a4,0x13c1,0x1405,0x1408,0x1417,0x13ea,0x1405,0x1419,0x1422,0x1426,0x1426,0x103d,0x103d
NtDCompositionTelemetryTouchInteractionUpdate,,,,,,,,,,,,,,,,,,,,0x13a3,0x13c0,0x1404,0x1407,0x1416,0x13e9,0x1404,0x1418,0x1421,0x1425,0x1425,0x103e,0x103e
NtDCompositionUpdatePointerCapture,,,,,,,,,,,,,,,,,,,,,,0x1429,0x142b,0x142a,0x13fd,0x1418,0x142c,0x1435,0x1439,0x1439,0x103f,0x103f
NtDCompositionValidateAndReferenceSystemVisualForHwndTarget,,,,,,,,,,,,,,,,,,,,0x13b7,,,,,,,,,,,,
NtDCompositionWaitForChannel,,,,,,,,,,,,,,,,,,,,0x13a0,0x13bd,0x1401,0x1404,0x1413,0x13e6,0x1401,0x1415,0x141e,0x1422,0x1422,0x1040,0x1040
NtDWMBindCursorToOutputConfig,,,,,,,,,,,,,,,,,,,,,,,,,,0x1493,0x14c1,,,,,
NtDWMCommitInputSystemOutputConfig,,,,,,,,,,,,,,,,,,,,,,,,,,0x1492,0x14c0,,,,,
NtDWMSetCursorOrientation,,,,,,,,,,,,,,,,,,,,,,,,,,0x1494,0x14c2,,,,,
NtDWMSetInputSystemOutputConfig,,,,,,,,,,,,,,,,,,,,,,,,,,0x1491,0x14bf,,,,,
NtDesktopCaptureBits,,,,,,,,,,,,,,,,,,,,,,0x13da,0x13dc,0x13ed,0x13bf,0x13da,0x13eb,0x13f5,0x13f9,0x13f9,0x1041,0x1041
NtDuplicateCompositionInputSink,,,,,,,,,,,,,,,,,,,,,0x13a2,0x13e0,0x13e2,0x13f3,0x13c6,0x13e1,0x13f2,0x13fb,0x13ff,0x13ff,0x144d,0x144d
NtDxgkCreateTrackedWorkload,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13c2,0x13c4,0x13c4,0x1051,0x1051
NtDxgkDestroyTrackedWorkload,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13c3,0x13c5,0x13c5,0x1052,0x1052
NtDxgkDispMgrOperation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13cb,0x13cb,0x1118,0x1118
NtDxgkDisplayPortOperation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x111b,0x111b
NtDxgkDuplicateHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1119,0x1119
NtDxgkEndTrackedWorkload,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13c6,0x13c8,0x13c8,,
NtDxgkEnumAdapters3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x111a,0x111a
NtDxgkGetAvailableTrackedWorkloadIndex,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13c4,0x13c6,0x13c6,0x1053,0x1053
NtDxgkGetProcessList,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13be,0x13c1,0x13c3,0x13c3,0x1054,0x1054
NtDxgkGetTrackedWorkloadStatistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13c7,0x13c9,0x13c9,0x1055,0x1055
NtDxgkOutputDuplPresentToHwQueue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13a4,0x13a4,0x1056,0x1056
NtDxgkPinResources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10d0,0x10d0
NtDxgkRegisterVailProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13ba,0x13bd,0x13bf,0x13bf,0x1057,0x1057
NtDxgkResetTrackedWorkload,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13c8,0x13ca,0x13ca,,
NtDxgkResetTrackedWorkloadStatistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1058,0x1058
NtDxgkSubmitPresentBltToHwQueue,,,,,,,,,,,,,,,,,,,,,,,,,,,0x139f,0x13a1,0x13a2,0x13a2,0x1059,0x1059
NtDxgkSubmitPresentToHwQueue,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13a2,0x13a3,0x13a3,0x105a,0x105a
NtDxgkUnpinResources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x110c,0x110c
NtDxgkUpdateTrackedWorkload,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13c5,0x13c7,0x13c7,0x105b,0x105b
NtDxgkVailConnect,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13bb,0x13be,0x13c0,0x13c0,0x105c,0x105c
NtDxgkVailDisconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13bc,0x13bf,0x13c1,0x13c1,0x105d,0x105d
NtDxgkVailPromoteCompositionSurface,,,,,,,,,,,,,,,,,,,,,,,,,,,0x13bd,0x13c0,0x13c2,0x13c2,0x105e,0x105e
