System call,Windows XP (SP1),Windows XP (SP2),Windows Server 2003 (SP0),Windows Server 2003 (SP2),Windows Server 2003 (R2),Windows Server 2003 (R2 SP2),Windows Vista (SP0),Windows Vista (SP1),Windows Vista (SP2),Windows 7 (SP0),Windows 7 (SP1),Windows 8 (8.0),Windows 8 (8.1),Windows 10 (1507),Windows 10 (1511),Windows 10 (1607),Windows 10 (1703),Windows 10 (1709),Windows 10 (1803),Windows 10 (1809),Windows 10 (1903),Windows 10 (1909),Windows 10 (2004),Windows 10 (20H2),Windows 10 (21H1),Windows 10 (21H2),Windows 10 (22H2),Windows 11 and Server (Server 2022),Windows 11 and Server (11 21H2),Windows 11 and Server (11 22H2),Windows 11 and Server (11 23H2),Windows 11 and Server (Server 23H2),Windows 11 and Server (11 24H2),Windows 11 and Server (Server 2025),Windows 11 and Server (11 25H2)
NtDCompositionGetStatistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1130,0x1130,0x1130,0x112e,0x1130,0x1130,0x112f
NtDCompositionGetTargetStatistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1135,0x1131,0x1131,0x1131,0x112f,0x1131,0x1131,0x1130
NtDCompositionNotifySuperWetInkWork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1132,0x1132,0x1132,0x1130,0x1132,0x1132,0x1131
NtDCompositionOpenSharedResource,,,,,,,,,,,,,0x113b,0x1141,0x1143,,,,,,,,,,,,,,,,,,,,
NtDCompositionOpenSharedResourceHandle,,,,,,,,,,,,,0x113c,0x1142,0x1144,,,,,,,,,,,,,,,,,,,,
NtDCompositionProcessChannelBatchBuffer,,,,,,,,,,,,,,,,0x113d,0x1134,0x1134,0x1136,0x1137,0x1137,0x1137,0x1137,0x1137,0x1137,0x1137,0x1137,0x1136,0x1133,0x1133,0x1133,0x1131,0x1133,0x1133,0x1132
NtDCompositionReferenceSharedResourceOnDwmChannel,,,,,,,,,,,,,0x113d,0x1143,0x1145,0x113e,0x1135,0x1135,0x1137,0x1138,0x1138,0x1138,0x1138,0x1138,0x1138,0x1138,0x1138,0x1137,0x1134,0x1134,0x1134,,,,
NtDCompositionRegisterThumbnailVisual,,,,,,,,,,,,,0x113e,0x1144,0x1146,0x113f,0x1136,0x1136,0x1138,0x1139,0x1139,0x1139,0x1139,0x1139,0x1139,0x1139,0x1139,0x1138,0x1135,0x1135,0x1135,0x1132,0x1134,0x1134,0x1133
NtDCompositionRegisterVirtualDesktopVisual,,,,,,,,,,,,,,0x1145,0x1147,0x1140,0x1137,0x1137,0x1139,0x113a,0x113a,0x113a,0x113a,0x113a,0x113a,0x113a,0x113a,0x1139,0x1136,0x1136,0x1136,0x1133,0x1135,0x1135,0x1134
NtDCompositionReleaseAllResources,,,,,,,,,,,,0x1136,0x113f,0x1146,0x1148,0x1141,0x1138,0x1138,0x113a,0x113b,0x113b,0x113b,0x113b,0x113b,0x113b,0x113b,0x113b,0x113a,0x1137,0x1137,0x1137,0x1134,0x1136,0x1136,0x1135
NtDCompositionReleaseResource,,,,,,,,,,,,0x1137,0x1140,0x1147,0x1149,,,,,,,,,,,,,,,,,,,,
NtDCompositionRemoveCrossDeviceVisualChild,,,,,,,,,,,,0x1138,0x1141,0x1148,0x114a,0x1142,0x1139,0x1139,0x113b,0x113c,0x113c,0x113c,0x113c,0x113c,0x113c,0x113c,0x113c,0x113b,0x1138,0x1138,0x1138,0x1135,0x1137,0x1137,0x1136
NtDCompositionRemoveVisualChild,,,,,,,,,,,,0x1139,0x1142,0x1149,0x114b,,,,,,,,,,,,,,,,,,,,
NtDCompositionReplaceVisualChildren,,,,,,,,,,,,0x113a,0x1143,0x114a,0x114c,,,,,,,,,,,,,,,,,,,,
NtDCompositionRetireFrame,,,,,,,,,,,,0x113b,0x1144,0x114b,0x114d,0x1143,0x113a,0x113a,0x113c,0x113d,0x113d,0x113d,0x113d,0x113d,0x113d,0x113d,0x113d,0x113c,,,,,,,
NtDCompositionSendDwmLpcMessage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1138,0x1137
NtDCompositionSetBlurredWallpaperSurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1139,0x1139,0x1139,0x1136,0x1138,0x1139,0x1138
NtDCompositionSetChannelCallbackId,,,,,,,,,,,,,,0x114c,0x114e,0x1144,0x113b,0x113b,0x113d,,,,,,,,,,,,,,,,
NtDCompositionSetChannelCommitCompletionEvent,,,,,,,,,,,,0x113c,0x1145,0x114d,0x114f,0x1145,0x113c,0x113c,0x113e,0x113e,0x113e,0x113e,0x113e,0x113e,0x113e,0x113e,0x113e,0x113d,0x113a,0x113a,0x113a,0x1137,0x1139,0x113a,0x1139
